State,County,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
TX,Wilbarger County,16.9,23.6,6.7,16.5,79.0,707,3632,-2.5,297,1.5,1.0,8.7,28.7,0.1,2.0,86.6,59.9,68.3,5161,6275,62000,2.44,13.8,41658,20373,20.7,2,4.3,970.84,14.7,85.2,0,13.1,51.0,896,13535,12973,-4.2,13.9,160,0,1702,12382,0.0,3.2,0.0,0.0,0.0,933,0.0
TX,Willacy County,12.6,25.3,6.5,8.8,62.2,1327,2331,-11.4,191,0.7,0.8,2.7,87.7,0.1,0.5,95.3,9.4,77.9,5499,7118,48800,3.59,8.3,25886,11313,40.0,98,15.7,590.55,45.4,90.4,0,18.0,45.4,1081,22134,21903,-1.0,37.5,132,0,1228,6040,0.0,0.0,0.0,56.8,0.0,1439,30.0
TX,Williamson County,10.9,27.1,6.8,38.0,92.0,34913,137138,7.5,8908,0.9,6.0,6.8,23.9,0.1,2.6,83.6,61.7,68.6,154948,175677,178900,2.82,20.3,71803,31070,7.0,4706,10.9,1118.3,20.7,81.3,16476,26.0,50.9,33319,422679,489250,15.8,378.0,5836,15251,99180,26573,0.0,5.9,4.0,10.8,0.0,33853,30.5
TX,Wilson County,14.9,24.8,5.7,18.0,84.6,3248,5631,7.2,601,0.9,0.5,1.7,38.6,0.0,1.4,95.4,58.2,84.9,15157,16991,143500,2.85,3.1,64571,27238,11.5,34,4.6,803.73,23.4,89.7,0,32.7,49.9,4636,42918,46402,8.1,53.4,208,489,1804,4609,0.0,0.0,0.0,22.6,0.0,3222,0.0
TX,Winkler County,10.9,30.4,8.1,9.6,70.1,503,1540,9.5,170,1.8,0.6,3.0,58.2,0.0,0.9,93.7,38.2,80.4,2709,3010,45100,2.63,4.9,48992,23629,12.8,0,12.8,841.11,43.0,84.0,0,23.3,48.7,289,7110,7821,10.0,8.5,46,291,403,6169,0.0,0.0,0.0,0.0,0.0,634,0.0
TX,Wise County,14.4,25.1,6.5,16.1,83.8,4858,18868,3.1,1269,1.0,0.5,1.6,18.4,0.1,1.5,95.3,77.9,80.6,20487,23946,121900,2.88,5.0,56005,25663,10.8,46,6.3,904.42,13.5,86.3,3765,30.9,49.6,4581,59127,61638,4.2,65.4,592,4183,5652,9819,0.0,2.4,0.0,5.1,0.0,6538,23.4
TX,Wood County,26.5,19.7,4.9,17.0,83.4,3430,8057,-0.6,800,1.0,0.6,5.0,9.6,0.1,1.4,91.9,83.3,81.1,15800,20941,99900,2.56,4.7,43649,23129,14.6,19,3.5,645.23,7.0,87.2,7080,27.5,50.6,4876,41964,42852,2.1,65.0,303,1370,3834,9072,2.9,0.0,0.0,0.0,0.0,4616,25.3
TX,Yoakum County,11.9,32.3,9.5,15.0,70.3,464,2548,3.2,184,1.7,0.5,1.6,63.1,0.0,1.2,95.0,34.4,80.0,2654,3000,71100,3.0,2.5,49340,21389,11.7,14,22.7,799.71,51.3,86.0,0,17.8,50.6,361,7879,8286,5.2,9.9,60,511,369,4976,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Young County,19.4,24.0,6.7,16.7,78.6,1999,5955,4.7,589,1.3,0.6,1.6,17.9,0.1,1.4,95.0,78.7,71.8,7186,8657,84300,2.52,10.2,44429,26979,16.0,35,5.7,914.47,13.3,87.0,3014,16.3,50.6,1345,18550,18350,-1.1,20.3,177,861,1851,10447,1.6,0.0,0.0,0.0,0.0,2370,17.0
TX,Zapata County,11.6,33.4,10.1,8.5,54.8,1405,2218,-13.6,163,0.5,0.2,0.4,93.9,0.0,0.2,98.7,5.5,79.1,4460,6226,55700,3.17,2.9,31109,16671,34.7,0,24.5,998.41,87.2,87.1,0,17.7,49.6,478,14018,14319,2.1,14.0,94,0,621,4586,0.0,0.0,0.0,65.7,0.0,1177,26.9
TX,Zavala County,12.5,30.6,8.9,9.4,60.3,909,1880,2.2,109,1.0,0.2,1.3,93.0,0.2,0.8,96.6,6.2,68.6,3654,4304,39900,3.15,13.5,25625,12828,35.0,11,11.2,1297.41,79.3,90.3,0,17.3,49.9,422,11677,12267,5.1,9.0,46,0,332,2860,0.0,0.0,0.0,75.3,0.0,1099,34.8
