State,County,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
TX,Clay County,20.3,21.6,4.9,18.2,88.5,773,862,-5.2,124,1.5,0.3,0.9,5.4,0.0,1.9,95.5,90.9,85.2,4216,5149,81600,2.51,2.3,53776,25867,10.3,5,1.6,1088.72,3.9,89.8,0,25.1,49.8,849,10752,10370,-3.6,9.9,25,54,776,6984,0.0,0.0,0.0,0.0,0.0,535,0.0
TX,Cochran County,14.9,28.3,7.8,12.4,66.1,176,297,-0.3,52,2.5,0.3,5.1,57.0,0.2,1.0,90.8,37.3,79.4,1039,1357,35500,2.85,4.9,38650,17371,15.1,1,15.0,775.15,43.9,86.7,0,16.7,50.5,141,3127,2935,-6.1,4.0,2,119,268,8706,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Coke County,26.9,19.7,5.1,17.4,85.5,293,241,-23.2,66,2.1,0.3,1.0,21.1,0.0,1.3,95.3,75.8,73.2,1436,2663,70400,2.16,4.0,40795,26407,11.0,0,3.7,911.47,12.2,82.9,0,21.5,51.3,301,3320,3254,-2.0,3.6,0,0,245,7233,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Coleman County,23.4,21.9,5.7,15.0,82.3,755,1444,-7.7,218,1.3,0.5,2.8,17.7,0.0,1.7,93.6,77.5,67.9,3478,5527,60900,2.48,9.9,31373,18967,27.6,0,0.7,1261.95,4.0,94.1,0,23.3,49.8,799,8895,8430,-5.2,7.0,50,161,479,5646,0.0,0.0,0.0,0.0,0.0,1174,26.3
TX,Collin County,9.7,27.2,6.5,49.3,93.4,75827,336461,7.1,19906,0.7,12.9,9.6,15.1,0.1,2.5,74.2,60.4,68.2,289752,327567,206100,2.79,25.2,82762,37839,7.8,10635,17.6,841.23,24.8,85.5,74337,27.5,50.9,42843,782341,885241,13.2,930.0,13804,93748,123507,16850,0.9,10.0,4.6,7.2,0.0,78539,28.0
TX,Collingsworth County,17.5,28.3,7.5,18.9,79.0,200,487,-0.8,60,2.5,0.5,5.9,32.4,0.0,2.0,89.0,59.8,78.5,1174,1609,66400,2.54,7.4,41576,22847,20.4,0,12.0,918.44,23.8,85.9,0,19.3,51.1,204,3057,3017,-1.3,3.3,13,0,171,5788,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Colorado County,20.7,22.9,5.7,16.9,82.2,1824,6014,-5.6,551,1.0,0.8,13.5,28.3,0.1,1.2,83.5,57.7,77.3,8079,10551,109600,2.52,6.7,45146,24348,16.6,10,8.4,960.27,21.6,93.3,3073,23.8,49.9,1689,20874,20719,-0.7,21.7,217,1368,2267,11050,0.0,0.0,0.0,0.0,0.0,1831,29.0
TX,Comal County,17.4,23.1,5.7,33.3,89.4,11588,40920,5.8,3093,0.8,1.0,2.3,26.6,0.1,1.7,94.1,69.0,76.1,41954,51427,205000,2.64,11.0,65839,32980,10.2,2075,6.2,559.48,17.1,84.7,10936,29.9,50.7,12595,108472,123694,14.0,193.9,1844,9606,15397,14632,0.0,0.0,0.0,10.3,0.0,12349,25.8
TX,Comanche County,22.9,23.1,6.1,18.9,76.0,974,2417,1.6,263,1.2,0.3,1.0,27.3,0.0,1.1,96.4,70.6,77.0,5162,7265,73700,2.64,3.9,36020,19268,26.4,3,6.9,937.75,21.4,90.2,0,21.8,50.9,1176,13974,13550,-3.0,14.9,0,831,1177,8744,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Concho County,15.7,12.9,3.4,10.8,71.2,218,734,4.9,46,0.6,0.4,2.6,56.3,0.1,1.4,94.9,40.7,79.1,857,1641,76100,3.29,2.4,51411,19976,16.5,0,30.3,983.8,35.2,74.0,0,24.9,30.1,267,4087,4050,-0.9,4.2,43,0,176,4930,0.0,0.0,0.0,0.0,0.0,137,0.0
TX,Cooke County,17.4,24.2,6.5,19.5,83.8,3333,13373,3.3,890,1.4,1.1,3.2,17.0,0.1,1.7,92.6,76.8,69.5,14466,16690,117100,2.61,8.4,50067,25186,14.8,25,7.9,874.76,14.7,82.7,5797,24.3,50.4,2935,38437,38761,0.8,43.9,525,998,4997,13006,0.0,0.0,0.0,4.9,0.0,4564,0.0
TX,Coryell County,9.0,24.8,7.3,15.1,87.5,2640,9983,4.1,708,1.2,2.2,17.4,17.9,0.8,4.0,74.4,59.4,57.3,20416,26032,97400,3.17,20.4,49819,19357,13.4,146,5.5,1052.07,14.6,79.1,0,20.1,50.4,9150,75388,75562,0.2,71.7,453,343,4425,6096,0.0,3.5,4.8,6.2,0.0,3067,25.7
TX,Cottle County,24.5,21.8,4.0,16.1,76.2,132,154,-1.3,27,0.5,0.1,10.4,24.3,0.1,1.3,87.6,64.5,72.4,709,960,41400,2.16,7.5,34639,21089,15.4,0,4.3,900.56,13.8,84.2,0,17.4,52.3,103,1505,1415,-6.0,1.7,0,0,126,8219,0.0,0.0,0.0,0.0,0.0,99,0.0
TX,Crane County,11.3,30.0,8.4,13.6,68.9,288,1186,11.6,92,1.6,0.7,3.0,61.9,0.1,1.3,93.3,34.1,75.8,1571,1662,66800,2.79,2.1,50417,22291,13.8,1,16.5,785.07,48.4,82.6,0,24.5,50.2,228,4375,4950,13.1,5.6,10,232,478,12379,0.0,0.0,0.0,0.0,0.0,407,39.6
TX,Crockett County,15.1,25.6,7.5,11.1,64.3,320,1337,17.8,126,1.9,0.7,1.9,64.0,0.1,1.1,94.3,33.8,69.2,1375,1869,56200,2.73,8.2,50475,23872,16.7,0,10.3,2807.33,44.3,89.5,0,17.2,50.3,209,3719,3812,2.5,1.3,82,0,588,15572,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Crosby County,18.9,26.8,7.1,13.8,69.5,362,640,-2.0,98,1.2,0.1,4.4,54.0,0.1,1.5,92.8,41.1,67.2,2164,2910,55400,2.75,7.0,38187,18959,26.5,5,5.2,900.2,32.9,76.9,0,19.7,50.7,297,6059,5899,-2.6,6.7,0,1194,237,3807,0.0,0.0,0.0,0.0,0.0,455,31.0
TX,Culberson County,16.8,25.1,7.5,16.5,70.2,187,570,3.1,52,3.1,1.7,1.3,73.5,0.0,2.8,91.0,21.3,63.4,838,1153,46600,2.75,5.6,37105,16227,25.2,1,13.0,3812.8,64.0,92.4,0,10.9,51.2,143,2398,2266,-5.5,0.6,103,0,1062,42653,0.0,0.0,0.0,0.0,0.0,241,0.0
TX,Dallam County,8.7,32.0,9.3,10.4,72.3,498,1653,-0.2,208,1.9,0.9,2.0,42.9,0.1,1.9,93.1,52.6,61.3,2375,2896,70700,2.86,6.9,40895,19752,18.1,20,17.3,1503.26,33.6,80.3,0,14.0,48.5,297,6703,7135,6.4,4.5,125,3110,853,13911,0.0,0.0,0.0,0.0,0.0,675,0.0
TX,Dallas County,9.7,26.9,7.7,28.6,77.4,210881,1322022,2.4,62501,1.1,5.9,23.1,39.3,0.1,1.7,68.0,31.1,52.5,858332,974457,128300,2.77,38.9,49481,26816,19.1,14360,23.1,871.28,40.6,82.5,390470,26.0,50.7,106414,2368139,2518638,6.4,2718.0,57051,581651,331772,13929,0.8,6.9,13.6,15.3,0.0,228604,28.1
TX,Dawson County,14.7,25.0,7.1,9.4,68.5,678,2818,4.3,277,1.1,0.6,6.6,55.5,0.1,1.3,90.3,37.3,73.6,4414,5202,55700,2.63,4.7,39714,17677,21.9,7,8.3,900.31,36.1,84.5,0,14.0,44.8,489,13833,13372,-3.3,15.4,124,913,1483,10747,0.0,0.0,0.0,0.0,0.0,887,0.0
TX,Deaf Smith County,11.9,31.9,9.1,15.6,69.5,1166,5131,-6.8,399,1.7,0.6,2.0,70.6,0.1,1.0,94.7,27.0,65.3,6191,7061,80200,3.07,13.3,41444,17532,18.9,10,16.7,1496.87,51.6,87.2,4707,15.1,50.4,690,19372,19195,-0.9,12.9,172,0,2242,12227,0.0,0.0,0.0,0.0,0.0,1740,22.1
TX,Delta County,22.0,22.0,5.3,16.2,85.4,355,528,5.2,60,1.9,0.6,8.0,7.2,0.0,2.9,86.5,80.5,83.0,1929,2466,71600,2.67,3.8,40375,20150,17.9,2,1.0,256.83,1.9,85.4,0,27.7,50.5,548,5231,5238,0.1,20.4,0,0,264,4920,0.0,0.0,0.0,0.0,0.0,384,0.0
TX,Denton County,8.7,26.1,6.6,40.5,91.8,59107,182916,1.7,12517,0.9,7.7,9.6,19.0,0.1,2.5,79.3,61.7,65.5,243394,280409,184100,2.78,26.3,74155,33855,8.7,3565,14.2,878.43,22.0,80.7,40082,27.4,50.8,39891,662614,753363,13.7,754.3,7978,123589,76683,12465,0.6,6.2,5.3,8.6,0.0,58767,30.1
TX,DeWitt County,19.4,22.1,6.4,12.4,76.8,1520,5159,1.2,441,0.9,0.6,9.5,33.9,0.0,1.3,87.7,56.0,78.0,6948,9170,80700,2.66,6.0,46454,23720,13.5,5,2.6,908.98,18.0,85.3,1103,24.4,47.9,1742,20097,20684,2.9,22.1,148,304,1598,8108,0.0,0.0,0.0,0.0,0.0,1509,26.5
TX,Dickens County,20.9,18.9,6.2,13.5,77.4,170,250,1.2,42,2.1,1.1,6.0,29.5,0.1,2.0,88.7,62.8,76.8,913,1282,48400,2.28,2.5,38401,20578,18.8,0,3.5,901.72,14.4,75.7,0,15.9,42.4,220,2444,2218,-9.2,2.7,9,0,113,4577,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Dimmit County,14.3,30.4,8.3,9.2,61.6,737,5806,26.1,234,0.8,0.6,1.7,85.9,0.0,0.7,96.2,12.2,69.8,3542,4357,49900,2.86,7.6,36681,17516,26.5,5,6.6,1328.88,70.8,90.5,0,15.5,50.9,433,9996,11089,10.9,7.5,82,0,747,7658,0.0,0.0,0.0,0.0,0.0,1017,0.0
TX,Donley County,23.3,19.7,5.6,16.7,85.9,236,492,2.9,85,0.7,0.4,5.1,10.9,0.1,1.4,92.4,81.8,76.7,1280,2135,61100,2.6,7.1,42411,21904,16.7,1,2.2,926.89,8.6,83.7,0,20.4,51.5,292,3677,3543,-5.0,4.0,37,0,292,7637,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Duval County,17.2,25.7,7.2,6.8,66.0,753,2533,14.2,163,0.8,0.3,1.4,88.5,0.1,0.5,96.9,9.9,72.5,3901,5534,52700,2.84,4.5,34131,20181,19.7,0,3.4,1793.48,65.7,81.3,0,22.9,48.4,650,11782,11533,-2.1,6.6,37,174,496,4084,0.0,0.0,0.0,60.6,0.0,1015,21.8
TX,Eastland County,21.1,21.4,5.5,16.0,82.0,1396,5395,9.5,472,1.1,0.6,2.5,16.0,0.1,1.2,94.6,79.6,75.1,6872,10251,61200,2.55,7.7,34914,21125,19.0,0,4.0,926.49,10.7,87.8,1354,21.2,50.8,1657,18583,18176,-2.2,20.1,176,1807,2596,14170,0.0,0.0,0.0,0.0,0.0,1747,23.4
TX,Ector County,9.6,29.8,9.0,13.5,72.9,10328,62316,8.4,3582,1.4,1.1,4.9,57.5,0.2,1.4,91.1,36.0,65.7,49962,56500,91200,2.8,19.9,51466,24247,15.9,556,13.7,897.69,43.4,81.6,20496,20.4,49.6,7071,137130,153904,12.2,152.8,2285,20042,20906,16222,1.6,1.6,2.0,30.5,0.0,11745,26.3
TX,Edwards County,26.0,20.2,5.6,24.2,68.9,187,182,13.0,37,2.2,0.7,0.8,54.4,0.0,0.7,95.5,43.9,91.6,838,1608,70500,2.45,0.5,43839,22015,18.4,0,12.7,2117.86,49.8,86.2,0,22.9,49.7,156,2002,1879,-6.1,0.9,0,0,116,6063,0.0,0.0,0.0,0.0,0.0,435,0.0
TX,Ellis County,11.9,27.0,6.4,20.7,83.6,12541,36269,5.2,2614,0.8,0.7,9.7,25.1,0.1,1.7,87.0,63.4,74.6,51016,57041,137500,2.95,11.3,61952,25662,11.9,1096,7.8,935.49,18.9,85.0,40806,29.0,50.6,9986,149610,159317,6.5,159.9,1265,2791,13231,9265,0.0,0.0,0.0,10.3,0.0,14160,26.6
TX,El Paso County,11.3,28.3,8.1,20.7,74.0,53783,221264,0.6,13814,1.0,1.3,4.0,81.2,0.2,1.4,92.1,13.3,61.7,255573,286659,111800,3.13,23.4,40157,18379,23.3,3043,26.0,1012.69,73.0,84.6,144234,23.2,51.0,49258,800647,833487,4.1,790.6,10312,50025,84609,11625,1.1,2.0,2.2,61.4,0.0,63143,27.1
TX,Erath County,13.7,20.8,6.0,24.3,82.0,2823,11608,-1.0,915,1.4,0.8,1.7,20.1,0.1,1.4,94.6,76.0,59.9,14383,17460,111100,2.57,14.5,39586,21670,22.3,85,8.5,1083.07,18.0,80.5,8493,18.2,50.9,2299,37890,40147,6.0,35.0,553,0,4450,12543,0.0,0.0,0.0,0.0,0.0,3925,0.0
TX,Falls County,17.3,21.2,6.3,10.7,74.4,907,1771,7.9,223,1.0,0.5,24.8,22.5,0.2,1.8,71.8,51.6,72.0,5600,7723,60800,2.84,10.0,32908,16486,20.9,3,5.7,765.48,17.0,91.0,0,27.0,52.3,1359,17866,16989,-4.9,23.3,0,531,716,4249,0.0,0.0,0.0,0.0,0.0,1121,0.0
TX,Fannin County,18.8,21.0,5.3,15.0,82.4,2251,4708,-0.8,454,1.2,0.5,7.0,10.5,0.1,2.2,89.0,79.4,74.6,11814,14228,92600,2.63,8.8,44355,20337,17.2,27,4.5,890.84,8.0,82.0,1358,28.2,47.0,3299,33915,33752,-0.5,38.1,184,0,2973,9044,0.0,0.0,0.0,0.0,0.0,2254,0.0
TX,Fayette County,23.8,20.9,5.0,16.8,80.2,2365,6827,-0.1,734,1.2,0.4,6.9,19.9,0.1,1.1,90.4,72.2,76.4,9999,13869,130300,2.41,5.6,48015,27032,11.6,6,7.9,950.01,18.1,92.1,2778,23.0,50.8,2071,24554,24833,1.1,25.8,319,1587,2620,11611,0.0,0.0,0.0,0.0,0.0,3232,19.6
TX,Fisher County,23.1,20.7,4.4,15.2,80.8,222,555,8.0,70,1.0,0.4,3.8,27.9,0.0,1.8,92.8,67.1,71.1,1518,2205,62200,2.54,6.2,42125,22709,17.1,0,2.1,898.94,17.8,90.6,0,20.9,50.4,293,3974,3831,-3.6,4.4,0,0,120,3040,0.0,0.0,0.0,0.0,0.0,379,0.0
TX,Floyd County,18.7,27.2,7.7,17.1,74.6,355,1017,4.1,157,1.3,0.4,4.2,56.2,0.0,1.0,93.2,39.5,69.3,2457,2993,61200,2.55,3.5,42279,21655,20.3,6,5.6,992.14,36.8,89.1,0,18.1,50.3,312,6446,5949,-7.7,6.5,18,655,400,6026,0.0,0.0,0.0,0.0,0.0,619,13.9
TX,Foard County,24.9,21.4,4.8,21.8,78.0,114,156,4.0,27,0.4,0.8,5.3,18.7,0.0,1.3,92.2,74.2,69.5,491,789,37500,2.23,6.2,33750,20202,15.4,0,1.5,704.4,4.8,92.8,0,12.7,51.4,93,1336,1275,-4.6,1.9,0,0,70,5037,0.0,0.0,0.0,0.0,0.0,154,0.0
TX,Fort Bend County,9.4,27.9,6.7,41.4,88.5,57132,138739,7.6,10791,0.6,19.0,21.1,24.0,0.1,2.0,57.2,35.1,78.7,191406,223983,183600,3.15,10.3,85297,34084,8.4,9268,25.9,861.48,37.9,89.2,49866,30.6,50.9,26189,585375,685345,17.2,679.5,5834,66152,53061,10440,0.0,16.5,16.5,15.9,0.0,50412,32.0
TX,Franklin County,20.3,24.2,5.9,20.3,83.5,774,5741,2.0,168,1.1,0.8,4.5,13.7,0.0,1.7,91.9,79.3,77.0,4304,5784,92800,2.43,4.9,45523,28189,14.4,1,6.9,284.39,13.0,89.1,0,22.4,51.0,995,10605,10600,0.0,37.3,64,48,878,7968,0.0,0.0,0.0,0.0,0.0,977,0.0
TX,Freestone County,18.2,23.1,5.9,11.7,78.8,1202,3926,1.9,349,1.4,0.8,16.5,14.8,0.0,1.6,79.7,67.3,79.4,7251,9290,76900,2.51,4.2,44502,22876,15.6,7,7.2,877.74,12.1,85.1,0,24.3,48.2,1756,19816,19762,-0.3,22.6,225,416,2542,13512,0.0,0.0,0.0,0.0,0.0,1590,0.0
TX,Frio County,11.6,24.4,7.0,6.5,63.9,984,5060,2.9,314,0.9,2.3,3.9,77.8,0.0,0.9,92.0,16.2,65.8,4805,5894,62900,3.09,9.4,35849,15863,24.0,11,9.7,1133.5,60.5,84.2,0,17.4,41.3,935,17217,18531,7.6,15.2,74,315,1075,6679,0.0,0.0,0.0,53.8,0.0,1214,31.7
TX,Gaines County,9.3,35.1,9.9,11.9,59.3,1600,3803,7.6,391,1.1,0.5,2.2,39.5,0.0,1.3,94.9,57.4,76.9,5437,6356,93000,3.29,5.2,52910,21572,16.8,15,19.2,1502.38,49.0,85.2,0,16.7,49.4,472,17526,19425,10.8,11.7,95,1692,825,5575,0.0,0.0,0.0,0.0,0.0,1564,18.3
TX,Galveston County,12.8,24.7,6.4,28.5,87.1,21630,81745,3.0,5378,0.8,3.4,13.6,23.7,0.1,1.9,80.1,58.1,68.7,110032,139612,148600,2.65,21.5,61877,30926,13.3,3006,9.7,378.36,19.3,82.5,234808,26.7,50.6,21663,291309,314198,7.9,769.9,5909,17615,27502,9700,0.0,5.9,7.6,10.3,0.0,22869,30.0
TX,Garza County,11.4,18.4,4.6,9.5,62.3,342,1372,6.1,124,0.8,0.7,7.4,50.0,0.1,0.9,90.2,42.3,75.9,1588,2223,72000,2.54,7.1,47540,16175,15.5,0,39.5,893.41,51.5,73.5,0,15.0,35.4,268,6461,6435,-0.4,7.2,61,99,349,7370,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Gillespie County,28.5,19.4,5.0,29.2,86.5,3320,8418,4.5,915,1.2,0.4,0.6,21.6,0.1,0.9,96.7,76.5,74.7,10655,12911,216600,2.3,8.4,53668,30117,12.0,39,7.8,1058.21,21.5,86.4,882,19.2,51.5,2666,24837,25520,2.7,23.5,522,1004,3111,13247,0.0,0.0,0.0,0.0,0.0,4379,28.7
TX,Glasscock County,14.4,25.9,6.0,18.8,77.9,125,236,28.3,23,0.9,0.1,1.7,34.1,0.2,0.8,96.4,63.1,69.2,409,581,119100,2.84,0.7,69107,31135,4.2,0,14.0,900.22,27.0,93.0,0,22.0,45.8,39,1226,1291,5.3,1.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Goliad County,20.3,21.7,4.7,14.2,85.7,558,831,-14.9,115,1.0,0.4,5.2,35.7,0.0,1.1,92.3,58.5,81.1,3028,3714,111600,2.35,4.1,50923,30031,14.7,0,2.1,852.01,20.1,87.9,0,29.4,50.1,704,7210,7549,4.7,8.5,38,0,373,5332,0.0,0.0,0.0,0.0,0.0,548,29.2
TX,Gonzales County,16.1,26.5,7.1,14.5,69.3,1222,4849,0.4,410,1.7,0.5,7.6,49.4,0.1,1.1,89.0,42.9,69.5,6638,8796,77500,2.95,7.8,39248,20288,21.9,35,13.2,1066.69,38.8,87.9,4446,21.4,49.5,1083,19807,20462,3.3,18.6,173,902,1792,9252,0.0,0.0,0.0,0.0,0.0,1554,27.1
TX,Gray County,15.3,25.7,7.3,13.5,80.2,1308,7124,-0.6,625,1.4,0.7,5.2,27.1,0.0,2.1,90.6,65.4,74.4,8388,10101,68000,2.5,7.9,43504,21738,14.6,3,7.3,925.97,19.1,82.4,6836,19.5,47.5,1467,22535,23044,2.3,24.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1689,0.0
TX,Grayson County,17.0,23.8,6.1,19.6,86.3,8927,39572,2.5,2513,1.8,1.2,6.2,12.6,0.1,2.5,88.3,76.8,67.4,46559,54399,104500,2.55,15.5,46429,24003,15.7,271,5.7,932.8,9.5,81.4,25428,24.8,51.2,9787,120877,123534,2.2,129.6,1677,6517,15947,13493,1.6,1.4,1.7,0.0,0.0,12376,28.1
TX,Gregg County,14.2,25.8,7.6,19.9,82.5,8933,67669,1.1,4097,1.0,1.3,20.5,18.0,0.1,1.9,75.2,58.8,62.4,45292,51413,121300,2.61,22.6,45525,24064,17.6,266,9.1,273.3,15.9,80.2,42339,20.2,51.0,8642,121730,123204,1.2,445.4,2466,14015,24051,20568,0.7,0.0,8.8,3.9,0.0,13320,25.3
TX,Grimes County,16.0,22.0,5.6,11.1,78.5,1892,6010,-1.9,405,0.9,0.7,16.5,22.8,0.1,1.5,80.4,59.1,76.3,8848,10980,92900,2.65,5.1,43994,20307,19.1,15,8.5,787.46,17.4,85.0,8926,33.8,45.5,2462,26604,27172,2.3,33.8,125,1424,1573,6110,0.0,0.0,0.0,0.0,0.0,1896,0.0
TX,Guadalupe County,13.0,26.2,6.3,24.6,86.0,8867,27160,3.3,1880,1.0,1.7,7.9,37.0,0.2,2.5,86.8,52.2,77.8,46409,53973,156000,2.89,7.2,61958,26184,9.7,765,6.9,711.3,24.1,87.0,21541,25.4,50.6,15646,131533,147250,11.9,184.9,1164,8221,10261,9115,0.0,0.0,0.0,21.6,0.0,9803,29.5
TX,Hale County,13.0,27.7,8.0,13.2,70.2,1978,9615,-13.4,716,1.7,0.6,5.9,58.2,0.1,1.2,90.5,35.2,63.9,11624,13502,70800,2.84,11.1,41191,18004,22.3,8,9.5,1004.68,37.5,78.4,0,14.8,48.1,1884,36273,34720,-4.3,36.1,402,0,3250,9120,0.0,0.0,0.0,26.5,0.0,2497,14.3
TX,Hall County,23.6,23.6,5.4,14.1,71.8,192,522,9.7,74,1.5,0.4,7.5,34.4,0.1,1.1,89.4,57.5,67.4,1177,1936,42700,2.76,5.5,33006,19004,23.8,0,12.4,883.49,21.6,89.0,0,15.7,51.2,231,3353,3147,-6.1,3.8,18,0,232,6817,0.0,0.0,0.0,0.0,0.0,119,0.0
TX,Hamilton County,25.8,20.8,5.2,17.8,81.7,726,1936,-7.4,209,1.8,0.6,1.0,11.3,0.1,1.0,95.5,86.1,73.4,3029,4561,91500,2.68,6.7,40655,23067,12.6,1,3.0,835.91,7.6,84.6,0,21.5,50.9,710,8517,8199,-3.7,10.2,60,447,785,9734,0.0,0.0,0.0,0.0,0.0,1074,0.0
TX,Hansford County,14.5,29.0,6.9,21.8,76.4,505,1515,25.5,154,1.7,0.3,1.0,45.4,0.0,0.9,96.1,52.7,76.7,1983,2332,72900,2.77,5.8,49150,23969,17.0,17,16.4,919.81,35.1,84.9,0,16.8,49.3,268,5613,5509,-1.9,6.1,31,892,600,11548,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Hardeman County,19.8,23.6,6.3,18.6,80.2,260,718,-3.0,84,1.0,0.7,6.1,22.8,0.0,2.3,89.9,68.9,69.6,1745,2404,46800,2.32,9.6,36377,19829,26.6,0,3.6,695.11,11.3,83.3,0,15.1,49.1,318,4139,3928,-5.1,6.0,33,186,222,5387,0.0,0.0,0.0,0.0,0.0,228,0.0
TX,Hardin County,15.2,24.8,6.4,15.6,86.3,3523,8945,-1.9,806,0.5,0.7,5.7,5.6,0.0,1.2,91.9,86.8,78.5,20633,23480,100400,2.64,5.9,53013,25559,10.9,117,1.5,890.57,3.6,88.1,0,27.8,50.6,4159,54635,55621,1.8,61.3,372,359,6123,11835,0.0,0.0,0.0,0.0,0.0,3909,0.0
TX,Harris County,9.2,27.1,7.7,28.4,78.7,367449,1971437,4.7,95376,1.1,7.0,19.5,41.8,0.1,1.7,70.5,31.4,56.5,1434694,1682870,131400,2.89,35.8,53137,27899,18.5,40060,25.0,1703.48,42.5,82.1,1692751,27.4,50.2,181514,4092459,4441370,8.5,2402.4,78747,2054787,518990,13276,0.9,9.9,12.7,23.0,0.1,370841,29.2
TX,Harrison County,14.9,24.9,6.6,17.8,84.6,4348,20657,-2.4,1322,1.2,0.7,22.5,12.3,0.1,1.6,73.9,63.2,73.3,23415,28021,108700,2.76,7.4,45675,23236,16.0,79,5.3,899.95,9.9,85.5,15643,22.4,51.1,4799,65631,67336,2.6,72.9,640,3035,6039,9541,0.0,1.2,8.7,0.0,0.0,6190,27.1
TX,Hartley County,14.6,21.1,5.3,20.6,80.9,336,1209,6.4,119,0.7,0.7,7.5,26.3,0.0,0.9,90.1,64.6,66.1,1748,1987,143700,2.61,9.2,65750,24566,8.6,0,8.6,1462.03,18.4,81.7,0,12.8,38.3,472,6062,6089,0.4,4.1,10,418,340,6549,0.0,0.0,0.0,0.0,0.0,0,0.0
TX,Haskell County,21.7,20.1,5.1,12.2,74.3,437,1124,1.4,146,1.0,0.7,4.6,25.5,0.0,2.0,91.8,68.3,74.0,2425,3440,45200,2.17,5.3,36857,22223,18.9,2,10.1,903.13,18.9,80.2,0,15.1,47.1,356,5899,5769,-2.2,6.5,46,0,592,11504,0.0,0.0,0.0,0.0,0.0,478,0.0
TX,Hays County,10.0,23.6,6.0,36.7,89.3,13750,44874,3.9,3545,1.2,1.5,4.1,37.0,0.2,2.0,90.9,56.2,66.8,56459,70731,175600,2.77,22.3,58651,26873,17.0,2305,7.3,677.98,23.0,78.3,10818,29.3,50.2,10834,157107,185025,17.8,231.7,2353,4511,19546,13765,1.1,0.9,1.8,18.1,0.0,14240,26.2
TX,Hemphill County,12.5,31.6,8.7,19.6,79.3,380,1710,2.7,172,1.2,0.8,0.7,32.3,0.1,0.9,96.3,65.0,74.7,1440,1683,97800,2.71,5.1,56379,29544,11.7,6,11.9,906.29,23.3,90.0,0,17.2,49.2,213,3807,4180,9.8,4.2,40,634,392,11855,0.0,0.0,0.0,0.0,0.0,480,0.0
TX,Henderson County,20.8,22.0,5.5,14.4,80.7,6009,12921,1.6,1274,0.8,0.7,6.7,12.0,0.1,1.7,90.1,79.1,74.8,29732,39973,87800,2.6,6.6,40900,21995,18.9,68,5.8,873.75,8.8,84.6,2019,29.2,51.2,7497,78532,79290,1.0,89.9,631,0,6573,8341,0.0,0.0,0.0,0.0,0.0,6660,0.0
TX,Hidalgo County,10.4,33.6,9.7,15.9,61.8,66167,178553,1.9,11678,0.5,1.1,0.9,91.2,0.0,0.4,97.0,7.1,68.4,217691,261184,78100,3.6,16.3,34146,14222,34.8,3473,29.3,1570.87,84.9,87.2,15032,21.6,51.2,23155,774769,831073,7.3,493.2,7579,43011,78988,11254,1.1,1.8,0.0,68.8,0.0,65497,30.6
TX,Hill County,20.1,23.9,6.0,14.8,78.7,2250,7148,7.0,626,0.9,0.5,6.9,20.1,0.1,1.6,90.1,71.5,72.1,13395,16132,83400,2.54,6.6,40769,21182,17.0,6,7.5,958.86,15.9,86.1,1535,29.5,50.9,2994,35089,34848,-0.7,36.6,442,416,4002,11364,0.0,0.0,0.0,7.1,0.0,2855,26.3
